name,rating,user_ratings_total
Stella Blues LLC,4.5,551.0
Lily's Mexican Restaurant,4.6,307.0
Jack in the Box,3.6,1316.0
White Castle,3.7,1498.0
Taco Bell,3.2,1127.0
White Castle,3.8,1731.0
New China,4.2,341.0
McDonald's,3.3,1787.0
Wei Hong Bakery,4.3,308.0
QuikTrip,3.6,98.0
New China,4.3,699.0
Subway,3.6,320.0
Elicia's Pizza,3.3,317.0
Time Out Bar & Grill,3.9,365.0
"Pop's Steak, Fish & Chicken",4.2,762.0
Alnoor grocery and grill,4.9,19.0
STL Steak and Cake,,
China king,3.3,63.0
Chicago Fish Chicken Grill -GRAVOIS,4.0,391.0
Pappy's Smokehouse,4.7,7830.0
The Fountain on Locust,4.7,2779.0
Everest Cafe & Bar,4.6,752.0
Chipotle Mexican Grill,3.7,1400.0
Vito's Sicilian Pizzeria & Ristorante,4.3,801.0
Urban Chestnut Midtown Brewery and Biergarten,4.6,410.0
McDonald's,3.3,2611.0
HandleBar,4.5,792.0
Humphrey's Restaurant & Tavern,4.2,117.0
Jazz St. Louis,4.8,789.0
White Castle,3.9,1773.0
Sanctuaria,4.1,574.0
The Gramophone,4.7,2716.0
Subway,3.6,139.0
Domino's Pizza,3.3,478.0
FIELDHOUSE Pub and Grill,4.1,711.0
Pizza Hut,3.5,648.0
Diablitos Cantina,4.0,289.0
The Scottish Arms,4.6,1348.0
SweetArt,4.7,1213.0
QDOBA Mexican Eats,3.7,809.0
Papa Johns Pizza,3.0,385.0
Captain D's,3.5,836.0
Jimmy John's,3.3,322.0
Small Batch Whiskey & Fare,4.5,666.0
Imo's Pizza,3.8,734.0
The Best Steak House,4.3,2713.0
ShiSha Restaurant & Lounge,3.9,475.0
OLIO,4.5,966.0
Applebee's Grill + Bar,3.8,1943.0
Pickleman's Gourmet Cafe,4.6,1235.0
Circle K,2.6,42.0
West End Wok,4.3,405.0
Pickles Deli,4.5,358.0
Brasserie by Niche,4.6,1112.0
ELAIA,4.4,116.0
City Foundry STL,4.5,2156.0
QuikTrip,3.3,100.0
IKEA Restaurant,4.3,459.0
Yapi Mediterranean Subs and Sandwiches,4.8,279.0
BLK MKT Eats,4.7,1216.0
St. Louis Bread Co.,4.1,131.0
Einstein Bros. Bagels,3.4,32.0
Vicia,4.6,683.0
Lucha Restaurant Oaxaca Style Mexican cuisine,3.9,271.0
Sauce on the Side,4.7,1656.0
Grace Meat + Three,4.4,1624.0
Baby Kakez,4.8,21.0
The Dark Room at The Grandel,4.5,511.0
Mound City Sandwich Shop,4.7,238.0
Chong Wah,4.2,456.0
Crazy Bowls and Wraps,4.3,582.0
Central West End Bed & Breakfast,4.6,81.0
Southern,4.6,1167.0
Delmar Chop Suey,4.3,412.0
Nixta,4.3,464.0
Sameem Afghan Restaurant & Catering,4.4,1211.0
Layla,4.5,1735.0
Urban Chestnut Grove Brewery and Bierhall,4.5,1019.0
Smoothie King,4.2,314.0
Pi Pizzeria - Central West End,4.3,1482.0
Dressel's Pub,4.5,720.0
Drunken Fish - Central West End,4.0,1227.0
Subway,3.8,287.0
Bar Italia,4.3,453.0
Burger King,3.6,926.0
Brennan's,4.5,480.0
Taco Bell,3.2,1034.0
Chez Mathy Restaurant,2.8,4.0
White Castle,3.8,1685.0
Taste Of Lebanon,4.1,568.0
Rally's,3.3,786.0
Evangeline's Bistro and Music House,4.3,1198.0
King Grill,4.3,354.0
Legacy Bar & Grill,4.5,438.0
Mission Taco Joint - Central West End,4.4,1812.0
KFC,3.4,917.0
Domino's Pizza,2.7,403.0
McDonald's,3.3,2180.0
Harvey's Chicago Style Red Heights,5.0,1.0
Taco Bell,3.5,1026.0
Burger King,3.5,967.0
White Castle,3.7,1660.0
St Louis Kitchen,3.8,613.0
Kingsway Chop Suey,3.8,63.0
Imo's Pizza,3.6,539.0
Lee's Famous Recipe Chicken,3.9,730.0
Church's Texas Chicken,3.5,613.0
Wendy's,3.8,1582.0
Hawaiian Grill,4.0,881.0
City Magic Cocktail Lounge & Restaurant,4.2,130.0
Euclid Market,4.4,159.0
Sweeties Pie 2nd Act,,
Guys With The Fries,4.8,100.0
Guido's Mississippi BBQ & Soul Bistro,3.9,17.0
Arkansas Fried Chicken,4.2,152.0
Njoy Nyce Snacks LLC,,
